PGC            HYPERLEDA_NAME                    COUNTERPART_NAME                 OBJECT_TYPE   RA          DEC         (m-M)       ERR_(m-M)    DL[Mpc]     ERR_LN(DL)  Kt          ERR_Kt      
46153          NGC5055                           NGC5055                          G             198.96      42.03       29.78       0.02        9.04        0.007       5.62        0.06        
41326          NGC4485                           NGC4485                          G             187.63      41.70       29.79       0.54        9.07        0.248       10.55       0.07        
62836          NGC6744                           NGC6744                          G             287.44      -63.86      29.81       0.10        9.14        0.045       6.01        0.16        
42913          NGC4659                           NGC4659                          G             191.12      13.50       29.81       1.87        9.16        0.860       9.28        0.04        
41376          NGC4491                           NGC4491                          G             187.74      11.48       29.81       1.77        9.16        0.816       9.93        0.11        
40209          NGC4328                           NGC4328                          G             185.83      15.82       29.81       1.81        9.16        0.834       11.47       0.16        
14462          NGC1522                           NGC1522                          G             61.53       -52.67      29.81       1.82        9.16        0.837       11.69       0.32        
9332           NGC0925                           NGC0925                          G             36.82       33.58       29.82       0.02        9.20        0.009       8.06        0.34        
42447          NGC4600                           NGC4600                          G             190.10      3.12        29.83       0.07        9.26        0.031       9.84        0.05        
27077          NGC2903                           NGC2903                          G             143.04      21.50       29.85       0.11        9.32        0.051       6.10        0.31        
24930          NGC2683                           NGC2683                          G             133.17      33.42       29.86       0.06        9.38        0.029       6.33        0.04        
33705          ESO265-007                        ESO265-007                       G             166.95      -46.53      29.86       0.34        9.38        0.154       8.45        0.18        
32292          NGC3384                           NGC3384                          G             162.07      12.63       29.87       0.02        9.42        0.008       6.77        0.06        
71866          NGC7713                           NGC7713                          G             354.06      -37.94      29.88       0.27        9.46        0.125       9.21        0.04        
49923          NGC5398                           NGC5398                          G             210.34      -33.06      29.88       0.77        9.48        0.352       10.51       0.22        
41069          NGC4460                           NGC4460                          G             187.19      44.86       29.89       0.19        9.49        0.087       9.08        0.06        
67045          NGC7090                           NGC7090                          G             324.12      -54.56      29.89       0.06        9.51        0.025       8.23        0.14        
10123          NGC1023                           NGC1023                          G             40.10       39.06       29.90       0.14        9.56        0.064       6.26        0.07        
70027          NGC7412                           NGC7412                          G             343.94      -42.64      29.90       1.13        9.57        0.518       8.69        0.14        
8557           NGC0855                           NGC0855                          G             33.51       27.88       29.92       0.17        9.62        0.078       9.89        0.14        
70324          NGC7462                           NGC7462                          G             345.69      -40.84      29.92       0.25        9.63        0.114       9.67        0.04        
29265          NGC3115                           NGC3115                          G             151.31      -7.72       29.92       0.08        9.65        0.037       5.89        0.04        
27135          ESO373-008                        ESO373-008                       G             143.34      -33.03      29.93       0.36        9.68        0.166       8.94        0.14        
25950          NGC2784                           NGC2784                          ?             138.08      -24.17      29.94       0.25        9.71        0.115       6.34        0.04        
38582          UGC07129                          UGC07129                         G             182.23      41.74       29.94       0.68        9.73        0.311       10.61       0.09        
22525          NGC2500                           NGC2500                          G             120.47      50.74       29.94       1.70        9.74        0.782       9.47        0.23        
20400          ESO428-004                        ESO428-004                       G             108.15      -28.65      29.94       1.72        9.74        0.792       9.83        0.07        
29300          PGC029300                         PGC029300                        G             151.42      -7.98       29.94       1.73        9.74        0.796       10.09       0.22        
14375          NGC1510                           NGC1510                          G             60.89       -43.40      29.94       1.71        9.74        0.788       10.51       0.29        
31442          NGC3299                           NGC3299                          G             159.10      12.71       29.94       1.71        9.74        0.788       10.97       0.10        
14658          ESO483-013                        ESO483-013                       G             63.17       -23.16      29.94       1.66        9.74        0.763       11.03       0.24        
45628          PGC045628                         PGC045628                        G             197.40      -27.14      29.94       1.75        9.74        0.805       11.04       0.17        
5060528        2MASXJ06194566+0337083            2MASXJ06194566+0337083           G             94.94       3.62        29.94       1.73        9.74        0.794       11.07       0.06        
4667015        2MFGC06197                        2MFGC06197                       G             117.29      -56.25      29.94       1.75        9.74        0.806       11.59       0.11        
53469          NGC5832                           NGC5832                          G             224.44      71.68       29.95       0.51        9.76        0.233       10.29       0.10        
