BAT_NAME(BAT105)  HYPERLEDA_NAME             COUNTERPART_NAME           TYPE_AGN       RA        DEC       (m-M)     ERR_(m-M)   DL[Mpc]   ERR_LN(DL)   FLUX(14-195keV)[1E-12erg.cm-2.s-1] ERR_FLUX    FLAG_(m_M)_(Hyperleda/Ned)         
J1417.9+2507      NGC5548                    NGC5548                    Sy1.5          214.50    25.14     34.44     0.20        77.3      0.092        86.5                               N/A         H                                  
J2258.9+4054      UGC12282                   UGC12282                   Sy2            344.70    40.92     34.44     0.20        77.3      0.092        21.5                               N/A         H                                  
J2021.9+4400      N/A                        2MASXJ20214907+4400399     Sy2            305.47    44.01     34.44     0.15        77.3      0.069        14.8                               N/A         N                                  
J0319.7+4132      NGC1275                    NGC1275                    BeamedAGN      49.95     41.51     34.46     0.08        78.0      0.037        82.6                               N/A         H                                  
J2341.8+3033      UGC12741                   UGC12741                   Sy2            355.48    30.57     34.46     0.20        78.0      0.092        20.9                               N/A         H                                  
J0516.3+1928      PGC097085                  2MFGC04298                 Sy2            79.10     19.45     34.49     0.20        79.1      0.092        23.1                               N/A         H                                  
J0508.1+1727      PGC016795                  CGCG468-002NED01           Sy1.9          77.10     17.40     34.50     0.20        79.4      0.092        26.1                               N/A         H                                  
J0123.8-3504      NGC0526                    NGC526A                    Sy2            20.97     -35.06    34.52     0.20        80.2      0.092        73.9                               N/A         H                                  
J2034.4-3036      PGC064989                  MC2031-307                 Sy1            308.63    -30.62    34.55     0.19        81.3      0.087        10.7                               N/A         H                                  
J0353.7+3711      PGC213255                  2MASXJ03534246+3714077     Sy2            58.45     37.18     34.57     0.19        82.0      0.087        12.5                               N/A         H                                  
J0920.8-0805      PGC026440                  MCG-01-24-012              Sy2            140.21    -8.06     34.62     0.19        83.9      0.087        46.4                               N/A         H                                  
J1152.6-0512      PGC037215                  MCG-01-30-041              Sy1.8          178.17    -5.18     34.62     0.19        83.9      0.087        15.7                               N/A         H                                  
J1554.9-3757      PGC160710                  IGRJ15549-3740             Sy2            238.73    -37.57    34.62     0.19        83.9      0.087        14.3                               N/A         H                                  
J0725.8+3000      PGC020977                  CGCG147-020                Sy2            111.35    30.02     34.62     0.19        83.9      0.087        9.2                                N/A         H                                  
J1836.9-5924      PGC062134                  Fairall49                  Sy1.9          279.26    -59.42    34.65     0.19        85.1      0.087        13.9                               N/A         H                                  
J1201.2-0341      PGC037916                  Mrk1310                    Sy1.5          180.27    -3.71     34.65     0.19        85.1      0.087        11.2                               N/A         H                                  
J1748.8-3257      N/A                        2MASSJ17485512-3254521     Sy1.9          267.23    -32.91    34.67     0.15        85.9      0.069        33.3                               N/A         N                                  
J0954.7+3725      IC2515                     IC2515                     Sy2            148.68    37.44     34.68     0.18        86.3      0.083        9.9                                N/A         H                                  
J0124.5+3350      NGC0513                    NGC513                     Sy2            21.14     33.77     34.69     0.18        86.7      0.083        24.5                               N/A         H                                  
J0306.0-3902      NGC1217                    NGC1217                    LINER          46.51     -39.03    34.69     0.18        86.7      0.083        10.0                               N/A         H                                  
J1830.8+0928      PGC1365707                 2MASXJ18305065+0928414     Sy2            277.70    9.49      34.71     0.18        87.5      0.083        11.6                               N/A         H                                  
J0756.3-4137      PGC3097174                 2MASXJ07561963-4137420     Sy2            119.03    -41.65    34.72     0.18        87.9      0.083        14.1                               N/A         H                                  
J0651.9+7426      IC0450                     Mrk6                       Sy1.5          103.08    74.44     34.74     0.18        88.7      0.083        56.7                               N/A         H                                  
J1031.5-4205      ESO317-041                 ESO317-G041                UnknownAGN     157.93    -42.10    34.75     0.07        89.1      0.032        12.9                               N/A         H                                  
J0554.8+4625      UGC03374                   MCG+08-11-011              Sy1.5          88.72     46.44     34.78     0.17        90.4      0.078        141.2                              N/A         H                                  
J1046.8+2556      UGC05881                   UGC05881                   Sy2            161.68    25.92     34.80     0.17        91.2      0.078        21.4                               N/A         H                                  
J1737.5-2908      PGC3096552                 AXJ1737.4-2907             Sy1            264.37    -29.13    34.81     0.17        91.6      0.078        119.0                              N/A         H                                  
J0122.8+5003      PGC005003                  MCG+08-03-018              Sy2            20.67     50.11     34.81     0.17        91.6      0.078        10.2                               N/A         H                                  
J1142.2+1021      NGC3822                    NGC3822                    Sy2            175.56    10.33     34.83     0.17        92.5      0.078        18.1                               N/A         H                                  
J1011.8+2307      PGC029708                  UGC05498NED01              LINER          152.94    23.09     34.84     0.17        92.9      0.078        9.4                                N/A         H                                  
J0623.8-3215      ESO426-002                 ESO426-G002                Sy2            95.94     -32.23    34.87     0.17        94.2      0.078        24.1                               N/A         H                                  
J0443.9+2856      UGC03142                   UGC03142                   Sy1            70.94     28.96     34.88     0.17        94.6      0.078        33.8                               N/A         H                                  
J1125.6+5423      PGC035129                  ARP151                     Sy1.2          171.37    54.38     34.88     0.17        94.6      0.078        20.1                               N/A         H                                  
J0942.2+2344      PGC027720                  CGCG122-055                Sy1.5          145.56    23.71     34.88     0.17        94.6      0.078        13.6                               N/A         H                                  
J2226.8+3628      UGC12040                   MCG+06-49-019              Sy2            336.74    36.41     34.88     0.17        94.6      0.078        12.4                               N/A         H                                  
J0042.9-2332      ESO474-016                 NGC235A                    Sy1.9          10.71     -23.53    34.90     0.17        95.5      0.078        52.1                               N/A         H                                  
J0823.4-0457      PGC023515                  Fairall272                 Sy2            125.76    -4.93     34.90     0.17        95.5      0.078        39.2                               N/A         H                                  
